Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
518,661.86,1682.80,2409.11,674.78,1660.95,2402.30,652.23,1612.49,2393.54
519,661.63,1682.86,2409.11,674.72,1661.01,2402.28,652.25,1612.60,2393.42
520,661.41,1682.92,2409.12,674.66,1661.08,2402.26,652.26,1612.70,2393.30
521,661.19,1682.99,2409.13,674.60,1661.15,2402.24,652.28,1612.81,2393.17
522,660.96,1683.05,2409.13,674.54,1661.21,2402.23,652.30,1612.92,2393.04
523,660.73,1683.12,2409.14,674.48,1661.28,2402.21,652.32,1613.03,2392.90
524,660.50,1683.18,2409.14,674.42,1661.34,2402.19,652.35,1613.13,2392.76
525,660.27,1683.25,2409.14,674.35,1661.40,2402.18,652.37,1613.23,2392.62
526,660.04,1683.31,2409.15,674.29,1661.46,2402.17,652.39,1613.34,2392.48
527,659.81,1683.38,2409.15,674.22,1661.53,2402.15,652.41,1613.44,2392.33
528,659.58,1683.44,2409.15,674.15,1661.59,2402.14,652.44,1613.54,2392.18
529,659.34,1683.51,2409.15,674.08,1661.65,2402.13,652.46,1613.64,2392.02
530,659.11,1683.57,2409.15,674.02,1661.71,2402.12,652.49,1613.74,2391.87
531,658.87,1683.64,2409.15,673.95,1661.76,2402.11,652.51,1613.84,2391.71
532,658.63,1683.70,2409.15,673.87,1661.82,2402.10,652.54,1613.94,2391.54
533,658.39,1683.77,2409.15,673.80,1661.88,2402.09,652.57,1614.04,2391.38
534,658.15,1683.83,2409.15,673.73,1661.94,2402.08,652.59,1614.13,2391.21
535,657.91,1683.90,2409.15,673.65,1661.99,2402.07,652.62,1614.23,2391.04
536,657.66,1683.97,2409.14,673.58,1662.05,2402.06,652.65,1614.32,2390.87
537,657.42,1684.03,2409.14,673.50,1662.10,2402.05,652.68,1614.42,2390.69
538,657.17,1684.10,2409.13,673.43,1662.16,2402.05,652.71,1614.51,2390.52
539,656.93,1684.17,2409.13,673.35,1662.21,2402.04,652.73,1614.60,2390.34
540,656.68,1684.23,2409.12,673.27,1662.26,2402.03,652.76,1614.70,2390.16
541,656.43,1684.30,2409.11,673.19,1662.31,2402.03,652.79,1614.79,2389.97
542,656.18,1684.37,2409.11,673.11,1662.37,2402.02,652.82,1614.88,2389.79
543,655.93,1684.43,2409.10,673.03,1662.42,2402.02,652.85,1614.97,2389.60
544,655.67,1684.50,2409.09,672.94,1662.47,2402.01,652.88,1615.06,2389.42
545,655.42,1684.57,2409.08,672.86,1662.52,2402.01,652.91,1615.15,2389.23
546,655.16,1684.64,2409.07,672.77,1662.57,2402.01,652.94,1615.24,2389.04
547,654.91,1684.70,2409.06,672.69,1662.62,2402.00,652.97,1615.32,2388.85
548,654.65,1684.77,2409.05,672.60,1662.67,2402.00,653.00,1615.41,2388.65
549,654.39,1684.84,2409.03,672.51,1662.72,2402.00,653.03,1615.50,2388.46
550,654.13,1684.91,2409.02,672.42,1662.76,2402.00,653.06,1615.58,2388.27
551,653.87,1684.98,2409.01,672.34,1662.81,2401.99,653.09,1615.67,2388.07
552,653.61,1685.05,2408.99,672.24,1662.86,2401.99,653.12,1615.75,2387.87
553,653.35,1685.12,2408.98,672.15,1662.91,2401.99,653.15,1615.84,2387.68
554,653.08,1685.19,2408.96,672.06,1662.95,2401.99,653.18,1615.92,2387.48
555,652.82,1685.25,2408.94,671.97,1663.00,2401.99,653.21,1616.00,2387.28
556,652.55,1685.32,2408.92,671.87,1663.04,2401.99,653.24,1616.09,2387.08
557,652.28,1685.39,2408.91,671.78,1663.09,2401.99,653.27,1616.17,2386.88
558,652.01,1685.47,2408.89,671.68,1663.14,2401.99,653.30,1616.25,2386.69
559,651.74,1685.54,2408.87,671.59,1663.18,2401.99,653.33,1616.33,2386.49
560,651.47,1685.61,2408.85,671.49,1663.23,2401.99,653.36,1616.41,2386.29
561,651.20,1685.68,2408.83,671.39,1663.27,2401.99,653.39,1616.49,2386.09
562,650.93,1685.75,2408.80,671.29,1663.31,2401.99,653.42,1616.57,2385.89
563,650.65,1685.82,2408.78,671.19,1663.36,2401.99,653.45,1616.65,2385.69
564,650.38,1685.89,2408.76,671.09,1663.40,2401.99,653.47,1616.73,2385.49
565,650.10,1685.97,2408.73,670.99,1663.45,2401.99,653.50,1616.81,2385.29
566,649.83,1686.04,2408.71,670.88,1663.49,2401.99,653.53,1616.89,2385.09
567,649.55,1686.11,2408.68,670.78,1663.53,2401.99,653.55,1616.96,2384.89
568,649.27,1686.18,2408.65,670.67,1663.58,2401.99,653.58,1617.04,2384.69
569,648.99,1686.26,2408.63,670.57,1663.62,2401.99,653.60,1617.12,2384.50
570,648.70,1686.33,2408.60,670.46,1663.66,2401.99,653.63,1617.19,2384.30
571,648.42,1686.40,2408.57,670.35,1663.70,2401.99,653.65,1617.27,2384.11
572,648.14,1686.48,2408.54,670.25,1663.75,2401.99,653.68,1617.34,2383.91
573,647.85,1686.55,2408.51,670.14,1663.79,2401.99,653.70,1617.42,2383.72
574,647.57,1686.63,2408.48,670.03,1663.83,2401.99,653.72,1617.49,2383.52
575,647.28,1686.70,2408.45,669.92,1663.87,2401.99,653.74,1617.57,2383.33
576,646.99,1686.78,2408.42,669.80,1663.92,2401.99,653.76,1617.64,2383.14
577,646.70,1686.86,2408.38,669.69,1663.96,2401.98,653.78,1617.72,2382.95
578,646.41,1686.93,2408.35,669.58,1664.00,2401.98,653.80,1617.79,2382.76
579,646.12,1687.01,2408.31,669.46,1664.04,2401.98,653.82,1617.86,2382.57
580,645.83,1687.08,2408.28,669.35,1664.08,2401.98,653.84,1617.93,2382.38
581,645.54,1687.16,2408.24,669.23,1664.12,2401.98,653.86,1618.01,2382.20
582,645.24,1687.24,2408.21,669.12,1664.17,2401.98,653.87,1618.08,2382.01
583,644.95,1687.32,2408.17,669.00,1664.21,2401.98,653.89,1618.15,2381.83
584,644.65,1687.40,2408.13,668.88,1664.25,2401.97,653.90,1618.22,2381.65
585,644.35,1687.47,2408.09,668.76,1664.29,2401.97,653.92,1618.29,2381.47
586,644.06,1687.55,2408.05,668.64,1664.33,2401.97,653.93,1618.36,2381.29
587,643.76,1687.63,2408.01,668.52,1664.37,2401.96,653.94,1618.43,2381.12
588,643.46,1687.71,2407.97,668.40,1664.42,2401.96,653.95,1618.50,2380.94
589,643.16,1687.79,2407.93,668.28,1664.46,2401.96,653.96,1618.57,2380.77
590,642.85,1687.87,2407.89,668.15,1664.50,2401.95,653.97,1618.64,2380.60
591,642.55,1687.95,2407.84,668.03,1664.54,2401.95,653.98,1618.71,2380.43
592,642.25,1688.03,2407.80,667.90,1664.58,2401.94,653.99,1618.78,2380.26
593,641.94,1688.12,2407.75,667.78,1664.63,2401.94,653.99,1618.85,2380.09
594,641.63,1688.20,2407.71,667.65,1664.67,2401.93,654.00,1618.92,2379.93
595,641.33,1688.28,2407.66,667.52,1664.71,2401.92,654.00,1618.98,2379.77
596,641.02,1688.36,2407.62,667.40,1664.75,2401.92,654.00,1619.05,2379.60
597,640.71,1688.45,2407.57,667.27,1664.79,2401.91,654.00,1619.12,2379.45
598,640.40,1688.53,2407.52,667.14,1664.84,2401.90,654.00,1619.19,2379.29
599,640.09,1688.61,2407.47,667.01,1664.88,2401.89,654.00,1619.25,2379.14
600,639.78,1688.70,2407.42,666.88,1664.92,2401.89,654.00,1619.32,2378.98
601,639.47,1688.78,2407.38,666.74,1664.97,2401.88,654.00,1619.39,2378.83
602,639.15,1688.87,2407.32,666.61,1665.01,2401.87,653.99,1619.45,2378.69
603,638.84,1688.95,2407.27,666.48,1665.05,2401.86,653.98,1619.52,2378.54
604,638.52,1689.04,2407.22,666.34,1665.10,2401.85,653.98,1619.59,2378.40
605,638.20,1689.13,2407.17,666.21,1665.14,2401.83,653.97,1619.65,2378.25
606,637.89,1689.21,2407.12,666.07,1665.18,2401.82,653.96,1619.72,2378.12
607,637.57,1689.30,2407.06,665.94,1665.23,2401.81,653.95,1619.78,2377.98
608,637.25,1689.39,2407.01,665.80,1665.27,2401.80,653.93,1619.85,2377.84
609,636.93,1689.48,2406.95,665.66,1665.31,2401.78,653.92,1619.91,2377.71
610,636.61,1689.56,2406.90,665.52,1665.36,2401.77,653.90,1619.98,2377.58
611,636.29,1689.65,2406.84,665.38,1665.40,2401.75,653.89,1620.04,2377.45
612,635.96,1689.74,2406.79,665.24,1665.45,2401.74,653.87,1620.11,2377.33
613,635.64,1689.83,2406.73,665.10,1665.49,2401.72,653.85,1620.17,2377.21
614,635.32,1689.92,2406.67,664.96,1665.54,2401.71,653.82,1620.24,2377.09
615,634.99,1690.01,2406.61,664.81,1665.59,2401.69,653.80,1620.30,2376.97
616,634.66,1690.10,2406.55,664.67,1665.63,2401.67,653.78,1620.36,2376.85
617,634.34,1690.20,2406.49,664.53,1665.68,2401.65,653.75,1620.43,2376.74
618,634.01,1690.29,2406.43,664.38,1665.73,2401.63,653.72,1620.49,2376.63
619,633.68,1690.38,2406.37,664.24,1665.77,2401.61,653.69,1620.56,2376.52
620,633.35,1690.47,2406.31,664.09,1665.82,2401.59,653.66,1620.62,2376.41
621,633.02,1690.57,2406.25,663.94,1665.87,2401.57,653.63,1620.68,2376.31
622,632.69,1690.66,2406.19,663.79,1665.91,2401.55,653.60,1620.75,2376.21
623,632.36,1690.76,2406.13,663.64,1665.96,2401.53,653.56,1620.81,2376.11
624,632.02,1690.85,2406.06,663.49,1666.01,2401.50,653.52,1620.87,2376.02
625,631.69,1690.95,2406.00,663.34,1666.06,2401.48,653.48,1620.93,2375.92
626,631.35,1691.04,2405.94,663.19,1666.11,2401.45,653.44,1621.00,2375.83
627,631.02,1691.14,2405.87,663.04,1666.16,2401.43,653.40,1621.06,2375.74
628,630.68,1691.24,2405.81,662.89,1666.21,2401.40,653.36,1621.12,2375.66
629,630.34,1691.33,2405.74,662.73,1666.26,2401.38,653.31,1621.19,2375.57
630,630.01,1691.43,2405.67,662.58,1666.31,2401.35,653.26,1621.25,2375.49
631,629.67,1691.53,2405.61,662.42,1666.36,2401.32,653.21,1621.31,2375.41
632,629.33,1691.63,2405.54,662.27,1666.41,2401.29,653.16,1621.37,2375.34
633,628.99,1691.73,2405.47,662.11,1666.46,2401.26,653.11,1621.43,2375.26
634,628.65,1691.83,2405.40,661.95,1666.52,2401.23,653.06,1621.50,2375.19
635,628.30,1691.93,2405.33,661.80,1666.57,2401.20,653.00,1621.56,2375.12
636,627.96,1692.03,2405.26,661.64,1666.62,2401.17,652.94,1621.62,2375.05
637,627.62,1692.13,2405.20,661.48,1666.67,2401.13,652.88,1621.68,2374.99
638,627.27,1692.23,2405.13,661.32,1666.73,2401.10,652.82,1621.74,2374.93
639,626.93,1692.34,2405.05,661.16,1666.78,2401.07,652.76,1621.81,2374.87
640,626.58,1692.44,2404.98,660.99,1666.84,2401.03,652.69,1621.87,2374.81
641,626.24,1692.54,2404.91,660.83,1666.89,2401.00,652.63,1621.93,2374.76
642,625.89,1692.65,2404.84,660.67,1666.95,2400.96,652.56,1621.99,2374.70
643,625.54,1692.75,2404.77,660.50,1667.00,2400.92,652.49,1622.05,2374.65
644,625.19,1692.86,2404.70,660.34,1667.06,2400.88,652.41,1622.11,2374.61
645,624.84,1692.96,2404.62,660.17,1667.12,2400.84,652.34,1622.17,2374.56
646,624.49,1693.07,2404.55,660.01,1667.18,2400.81,652.26,1622.24,2374.52
647,624.14,1693.18,2404.48,659.84,1667.23,2400.77,652.18,1622.30,2374.48
648,623.79,1693.29,2404.40,659.67,1667.29,2400.72,652.10,1622.36,2374.44
649,623.44,1693.39,2404.33,659.50,1667.35,2400.68,652.02,1622.42,2374.40
650,623.09,1693.50,2404.25,659.33,1667.41,2400.64,651.94,1622.48,2374.37
651,622.73,1693.61,2404.18,659.16,1667.47,2400.60,651.85,1622.54,2374.33
652,622.38,1693.72,2404.10,658.99,1667.53,2400.55,651.77,1622.60,2374.30
653,622.02,1693.83,2404.03,658.82,1667.59,2400.51,651.68,1622.67,2374.28
654,621.67,1693.94,2403.95,658.64,1667.65,2400.46,651.58,1622.73,2374.25
655,621.31,1694.06,2403.87,658.47,1667.72,2400.42,651.49,1622.79,2374.23
656,620.96,1694.17,2403.80,658.30,1667.78,2400.37,651.40,1622.85,2374.20
657,620.60,1694.28,2403.72,658.12,1667.84,2400.32,651.30,1622.91,2374.18
658,620.24,1694.39,2403.64,657.94,1667.90,2400.27,651.20,1622.97,2374.17
659,619.88,1694.51,2403.56,657.77,1667.97,2400.22,651.10,1623.04,2374.15
660,619.52,1694.62,2403.48,657.59,1668.03,2400.17,650.99,1623.10,2374.14
661,619.16,1694.74,2403.41,657.41,1668.10,2400.12,650.89,1623.16,2374.13
662,618.80,1694.85,2403.33,657.23,1668.17,2400.07,650.78,1623.22,2374.12
663,618.44,1694.97,2403.25,657.05,1668.23,2400.02,650.67,1623.28,2374.11
664,618.08,1695.09,2403.17,656.87,1668.30,2399.97,650.56,1623.34,2374.10
665,617.72,1695.21,2403.09,656.69,1668.37,2399.92,650.45,1623.41,2374.10
666,617.36,1695.32,2403.01,656.51,1668.44,2399.86,650.33,1623.47,2374.09
667,616.99,1695.44,2402.93,656.32,1668.51,2399.81,650.22,1623.53,2374.09
668,616.63,1695.56,2402.85,656.14,1668.57,2399.75,650.10,1623.59,2374.09
669,616.26,1695.68,2402.77,655.95,1668.65,2399.69,649.98,1623.65,2374.10
670,615.90,1695.80,2402.69,655.77,1668.72,2399.64,649.86,1623.72,2374.10
671,615.53,1695.93,2402.60,655.58,1668.79,2399.58,649.73,1623.78,2374.11
672,615.17,1696.05,2402.52,655.39,1668.86,2399.52,649.60,1623.84,2374.12
673,614.80,1696.17,2402.44,655.21,1668.93,2399.46,649.47,1623.90,2374.12
674,614.44,1696.29,2402.36,655.02,1669.01,2399.40,649.34,1623.97,2374.14
675,614.07,1696.42,2402.28,654.83,1669.08,2399.34,649.21,1624.03,2374.15
676,613.70,1696.54,2402.20,654.64,1669.16,2399.28,649.08,1624.09,2374.16
677,613.33,1696.67,2402.11,654.44,1669.23,2399.22,648.94,1624.16,2374.18
678,612.97,1696.80,2402.03,654.25,1669.31,2399.16,648.80,1624.22,2374.19
679,612.60,1696.92,2401.95,654.06,1669.39,2399.10,648.66,1624.28,2374.21
680,612.23,1697.05,2401.87,653.86,1669.46,2399.03,648.52,1624.35,2374.23
681,611.86,1697.18,2401.78,653.67,1669.54,2398.97,648.37,1624.41,2374.25
682,611.49,1697.31,2401.70,653.47,1669.62,2398.90,648.22,1624.47,2374.27
683,611.12,1697.44,2401.62,653.28,1669.70,2398.84,648.07,1624.54,2374.30
684,610.75,1697.57,2401.53,653.08,1669.78,2398.77,647.92,1624.60,2374.32
685,610.37,1697.70,2401.45,652.88,1669.86,2398.71,647.77,1624.67,2374.35
686,610.00,1697.83,2401.36,652.68,1669.95,2398.64,647.62,1624.73,2374.37
687,609.63,1697.97,2401.28,652.48,1670.03,2398.57,647.46,1624.80,2374.40
688,609.26,1698.10,2401.20,652.28,1670.11,2398.50,647.30,1624.86,2374.43
689,608.89,1698.23,2401.11,652.08,1670.20,2398.44,647.14,1624.93,2374.46
690,608.51,1698.37,2401.03,651.87,1670.28,2398.37,646.98,1624.99,2374.49
691,608.14,1698.50,2400.94,651.67,1670.37,2398.30,646.81,1625.06,2374.53
692,607.77,1698.64,2400.86,651.47,1670.46,2398.23,646.64,1625.12,2374.56
693,607.39,1698.78,2400.77,651.26,1670.55,2398.15,646.48,1625.19,2374.59
694,607.02,1698.92,2400.69,651.05,1670.63,2398.08,646.30,1625.25,2374.63
695,606.64,1699.05,2400.61,650.85,1670.72,2398.01,646.13,1625.32,2374.66
696,606.27,1699.19,2400.52,650.64,1670.81,2397.94,645.96,1625.39,2374.70
697,605.89,1699.33,2400.44,650.43,1670.91,2397.87,645.78,1625.46,2374.74
698,605.52,1699.47,2400.35,650.22,1671.00,2397.79,645.60,1625.52,2374.77
699,605.14,1699.62,2400.27,650.01,1671.09,2397.72,645.42,1625.59,2374.81
700,604.77,1699.76,2400.18,649.80,1671.19,2397.64,645.24,1625.66,2374.85
701,604.39,1699.90,2400.10,649.59,1671.28,2397.57,645.05,1625.73,2374.89
702,604.02,1700.05,2400.01,649.37,1671.38,2397.49,644.86,1625.79,2374.93
703,603.64,1700.19,2399.93,649.16,1671.47,2397.42,644.68,1625.86,2374.97
704,603.26,1700.34,2399.84,648.94,1671.57,2397.34,644.49,1625.93,2375.02
705,602.89,1700.48,2399.76,648.73,1671.67,2397.26,644.29,1626.00,2375.06
706,602.51,1700.63,2399.67,648.51,1671.77,2397.19,644.10,1626.07,2375.10
707,602.13,1700.78,2399.59,648.29,1671.87,2397.11,643.90,1626.14,2375.14
708,601.76,1700.93,2399.50,648.07,1671.97,2397.03,643.70,1626.21,2375.19
709,601.38,1701.08,2399.42,647.85,1672.07,2396.95,643.50,1626.28,2375.23
710,601.00,1701.23,2399.33,647.63,1672.17,2396.87,643.30,1626.35,2375.28
711,600.62,1701.38,2399.25,647.41,1672.28,2396.79,643.10,1626.43,2375.32
712,600.25,1701.53,2399.16,647.19,1672.38,2396.71,642.89,1626.50,2375.37
713,599.87,1701.69,2399.08,646.97,1672.49,2396.63,642.68,1626.57,2375.41
714,599.49,1701.84,2398.99,646.74,1672.59,2396.55,642.47,1626.64,2375.46
715,599.11,1702.00,2398.91,646.52,1672.70,2396.47,642.26,1626.71,2375.50
