Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
401,678.76,1675.97,2409.65,678.29,1644.28,2395.50,654.03,1589.30,2377.69
402,678.67,1675.99,2409.57,678.20,1644.48,2395.97,654.11,1589.60,2377.66
403,678.58,1676.01,2409.49,678.12,1644.68,2396.42,654.18,1589.89,2377.66
404,678.49,1676.03,2409.41,678.04,1644.88,2396.85,654.25,1590.19,2377.68
405,678.40,1676.06,2409.33,677.96,1645.08,2397.26,654.31,1590.48,2377.72
406,678.31,1676.09,2409.26,677.89,1645.28,2397.65,654.36,1590.78,2377.78
407,678.23,1676.12,2409.19,677.82,1645.48,2398.03,654.41,1591.07,2377.86
408,678.14,1676.15,2409.12,677.75,1645.68,2398.39,654.45,1591.36,2377.96
409,678.05,1676.18,2409.06,677.69,1645.88,2398.74,654.48,1591.65,2378.07
410,677.96,1676.21,2408.99,677.63,1646.08,2399.07,654.51,1591.93,2378.20
411,677.87,1676.25,2408.93,677.57,1646.28,2399.39,654.54,1592.22,2378.34
412,677.78,1676.29,2408.88,677.52,1646.49,2399.69,654.56,1592.50,2378.50
413,677.69,1676.33,2408.82,677.47,1646.69,2399.98,654.58,1592.79,2378.67
414,677.60,1676.37,2408.77,677.42,1646.89,2400.26,654.59,1593.07,2378.85
415,677.51,1676.41,2408.72,677.37,1647.09,2400.52,654.60,1593.35,2379.05
416,677.42,1676.45,2408.67,677.33,1647.29,2400.77,654.60,1593.62,2379.25
417,677.32,1676.50,2408.63,677.29,1647.49,2401.01,654.60,1593.90,2379.47
418,677.23,1676.54,2408.59,677.25,1647.69,2401.24,654.60,1594.17,2379.69
419,677.14,1676.59,2408.55,677.21,1647.88,2401.45,654.60,1594.44,2379.93
420,677.04,1676.64,2408.51,677.18,1648.08,2401.66,654.59,1594.71,2380.17
421,676.95,1676.69,2408.47,677.14,1648.28,2401.85,654.57,1594.98,2380.42
422,676.85,1676.74,2408.44,677.11,1648.47,2402.03,654.56,1595.25,2380.68
423,676.76,1676.79,2408.40,677.08,1648.67,2402.21,654.54,1595.51,2380.94
424,676.66,1676.84,2408.37,677.05,1648.86,2402.37,654.52,1595.78,2381.21
425,676.56,1676.90,2408.34,677.03,1649.06,2402.53,654.49,1596.04,2381.49
426,676.46,1676.95,2408.32,677.00,1649.25,2402.67,654.47,1596.30,2381.77
427,676.36,1677.00,2408.29,676.98,1649.44,2402.81,654.44,1596.56,2382.05
428,676.26,1677.06,2408.27,676.96,1649.63,2402.94,654.41,1596.81,2382.34
429,676.16,1677.12,2408.25,676.93,1649.82,2403.06,654.38,1597.07,2382.63
430,676.06,1677.17,2408.23,676.91,1650.01,2403.17,654.34,1597.32,2382.93
431,675.95,1677.23,2408.21,676.90,1650.20,2403.27,654.31,1597.57,2383.22
432,675.85,1677.29,2408.19,676.88,1650.38,2403.37,654.27,1597.81,2383.52
433,675.74,1677.35,2408.18,676.86,1650.57,2403.46,654.23,1598.06,2383.82
434,675.64,1677.41,2408.16,676.85,1650.75,2403.54,654.19,1598.30,2384.12
435,675.53,1677.47,2408.15,676.83,1650.93,2403.62,654.15,1598.55,2384.42
436,675.42,1677.53,2408.14,676.82,1651.11,2403.69,654.11,1598.79,2384.72
437,675.31,1677.59,2408.13,676.80,1651.29,2403.76,654.06,1599.02,2385.02
438,675.20,1677.65,2408.12,676.79,1651.47,2403.82,654.02,1599.26,2385.32
439,675.09,1677.71,2408.12,676.78,1651.65,2403.87,653.97,1599.49,2385.62
440,674.97,1677.77,2408.11,676.77,1651.82,2403.92,653.93,1599.73,2385.92
441,674.86,1677.83,2408.11,676.76,1652.00,2403.96,653.88,1599.96,2386.21
442,674.74,1677.89,2408.10,676.75,1652.17,2404.00,653.84,1600.18,2386.51
443,674.62,1677.96,2408.10,676.73,1652.34,2404.03,653.79,1600.41,2386.80
444,674.50,1678.02,2408.10,676.73,1652.51,2404.06,653.74,1600.63,2387.09
445,674.38,1678.08,2408.10,676.72,1652.68,2404.09,653.69,1600.86,2387.38
446,674.26,1678.15,2408.10,676.71,1652.84,2404.11,653.65,1601.08,2387.66
447,674.14,1678.21,2408.10,676.70,1653.01,2404.13,653.60,1601.30,2387.94
448,674.02,1678.27,2408.11,676.69,1653.17,2404.14,653.55,1601.51,2388.22
449,673.89,1678.34,2408.11,676.68,1653.33,2404.15,653.50,1601.73,2388.49
450,673.76,1678.40,2408.12,676.67,1653.49,2404.16,653.45,1601.94,2388.76
451,673.64,1678.47,2408.12,676.66,1653.65,2404.16,653.41,1602.15,2389.03
452,673.51,1678.53,2408.13,676.65,1653.81,2404.16,653.36,1602.36,2389.29
453,673.38,1678.60,2408.14,676.64,1653.97,2404.16,653.31,1602.56,2389.55
454,673.24,1678.66,2408.15,676.64,1654.12,2404.15,653.26,1602.77,2389.80
455,673.11,1678.73,2408.16,676.63,1654.27,2404.14,653.22,1602.97,2390.05
456,672.98,1678.79,2408.17,676.62,1654.42,2404.13,653.17,1603.17,2390.29
457,672.84,1678.86,2408.18,676.61,1654.57,2404.12,653.12,1603.37,2390.53
458,672.70,1678.92,2408.19,676.60,1654.72,2404.11,653.08,1603.57,2390.76
459,672.56,1678.99,2408.20,676.59,1654.87,2404.09,653.04,1603.77,2390.99
460,672.42,1679.05,2408.21,676.58,1655.01,2404.07,652.99,1603.96,2391.21
461,672.28,1679.12,2408.23,676.57,1655.15,2404.05,652.95,1604.15,2391.42
462,672.14,1679.18,2408.24,676.56,1655.30,2404.03,652.91,1604.34,2391.63
463,671.99,1679.25,2408.25,676.55,1655.44,2404.00,652.86,1604.53,2391.84
464,671.85,1679.31,2408.27,676.53,1655.57,2403.98,652.82,1604.71,2392.04
465,671.70,1679.38,2408.28,676.52,1655.71,2403.95,652.78,1604.90,2392.23
466,671.55,1679.44,2408.30,676.51,1655.84,2403.92,652.74,1605.08,2392.41
467,671.40,1679.51,2408.31,676.50,1655.98,2403.89,652.71,1605.26,2392.59
468,671.25,1679.58,2408.33,676.48,1656.11,2403.86,652.67,1605.44,2392.77
469,671.09,1679.64,2408.35,676.47,1656.24,2403.83,652.63,1605.62,2392.93
470,670.94,1679.71,2408.36,676.45,1656.37,2403.80,652.60,1605.79,2393.09
471,670.78,1679.77,2408.38,676.44,1656.50,2403.77,652.56,1605.97,2393.25
472,670.63,1679.84,2408.40,676.42,1656.62,2403.73,652.53,1606.14,2393.40
473,670.47,1679.90,2408.42,676.41,1656.75,2403.70,652.50,1606.31,2393.54
474,670.31,1679.97,2408.43,676.39,1656.87,2403.66,652.47,1606.48,2393.67
475,670.14,1680.03,2408.45,676.37,1656.99,2403.63,652.44,1606.65,2393.80
476,669.98,1680.10,2408.47,676.35,1657.11,2403.59,652.41,1606.81,2393.92
477,669.82,1680.16,2408.49,676.33,1657.23,2403.56,652.38,1606.98,2394.04
478,669.65,1680.23,2408.51,676.31,1657.34,2403.52,652.35,1607.14,2394.15
479,669.48,1680.29,2408.53,676.29,1657.46,2403.48,652.33,1607.30,2394.25
480,669.31,1680.36,2408.54,676.27,1657.57,2403.45,652.30,1607.46,2394.34
481,669.14,1680.42,2408.56,676.25,1657.69,2403.41,652.28,1607.62,2394.43
482,668.97,1680.49,2408.58,676.22,1657.80,2403.37,652.26,1607.77,2394.51
483,668.80,1680.55,2408.60,676.20,1657.91,2403.34,652.24,1607.93,2394.59
484,668.62,1680.62,2408.62,676.18,1658.01,2403.30,652.22,1608.08,2394.66
485,668.45,1680.68,2408.64,676.15,1658.12,2403.26,652.20,1608.23,2394.72
486,668.27,1680.74,2408.65,676.12,1658.23,2403.22,652.18,1608.38,2394.78
487,668.09,1680.81,2408.67,676.10,1658.33,2403.19,652.17,1608.53,2394.83
488,667.91,1680.87,2408.69,676.07,1658.43,2403.15,652.15,1608.68,2394.87
489,667.73,1680.94,2408.71,676.04,1658.53,2403.12,652.14,1608.82,2394.91
490,667.54,1681.00,2408.73,676.01,1658.63,2403.08,652.13,1608.97,2394.94
491,667.36,1681.07,2408.75,675.98,1658.73,2403.04,652.11,1609.11,2394.97
492,667.17,1681.13,2408.76,675.95,1658.83,2403.01,652.10,1609.25,2394.99
493,666.99,1681.19,2408.78,675.91,1658.92,2402.97,652.10,1609.39,2395.00
494,666.80,1681.26,2408.80,675.88,1659.02,2402.94,652.09,1609.53,2395.01
495,666.61,1681.32,2408.81,675.85,1659.11,2402.91,652.08,1609.67,2395.01
496,666.41,1681.39,2408.83,675.81,1659.20,2402.87,652.08,1609.80,2395.00
497,666.22,1681.45,2408.85,675.77,1659.30,2402.84,652.07,1609.94,2394.99
498,666.03,1681.52,2408.86,675.74,1659.39,2402.81,652.07,1610.07,2394.97
499,665.83,1681.58,2408.88,675.70,1659.47,2402.78,652.07,1610.20,2394.95
500,665.63,1681.64,2408.90,675.66,1659.56,2402.75,652.07,1610.33,2394.92
501,665.44,1681.71,2408.91,675.62,1659.65,2402.71,652.07,1610.46,2394.89
502,665.24,1681.77,2408.93,675.58,1659.73,2402.68,652.07,1610.59,2394.85
503,665.03,1681.84,2408.94,675.53,1659.82,2402.66,652.07,1610.72,2394.81
504,664.83,1681.90,2408.95,675.49,1659.90,2402.63,652.07,1610.84,2394.76
505,664.63,1681.96,2408.97,675.45,1659.98,2402.60,652.08,1610.97,2394.70
506,664.42,1682.03,2408.98,675.40,1660.06,2402.57,652.08,1611.09,2394.64
507,664.22,1682.09,2408.99,675.36,1660.14,2402.54,652.09,1611.21,2394.57
508,664.01,1682.15,2409.01,675.31,1660.22,2402.52,652.10,1611.33,2394.50
509,663.80,1682.22,2409.02,675.26,1660.30,2402.49,652.11,1611.45,2394.43
510,663.59,1682.28,2409.03,675.21,1660.37,2402.47,652.12,1611.57,2394.35
511,663.38,1682.35,2409.04,675.16,1660.45,2402.44,652.13,1611.69,2394.26
512,663.16,1682.41,2409.05,675.11,1660.52,2402.42,652.14,1611.81,2394.17
513,662.95,1682.47,2409.06,675.06,1660.59,2402.40,652.15,1611.92,2394.08
514,662.73,1682.54,2409.07,675.00,1660.67,2402.38,652.17,1612.04,2393.98
515,662.52,1682.60,2409.08,674.95,1660.74,2402.36,652.18,1612.15,2393.88
516,662.30,1682.67,2409.09,674.89,1660.81,2402.33,652.20,1612.26,2393.77
517,662.08,1682.73,2409.10,674.84,1660.88,2402.31,652.21,1612.38,2393.66
