Index,F1_25,F2_25,F3_25,F1_50,F2_50,F3_50,F1_75,F2_75,F3_75
472,828.28,1546.27,2361.73,828.56,1495.04,2341.59,762.48,1445.94,2277.12
473,828.17,1546.42,2361.70,828.51,1495.09,2341.62,762.27,1446.01,2277.15
474,828.07,1546.57,2361.67,828.47,1495.14,2341.65,762.06,1446.07,2277.18
475,827.96,1546.71,2361.65,828.42,1495.19,2341.68,761.85,1446.14,2277.21
476,827.85,1546.86,2361.62,828.37,1495.24,2341.71,761.64,1446.20,2277.24
477,827.74,1547.01,2361.60,828.33,1495.29,2341.74,761.43,1446.26,2277.27
478,827.63,1547.15,2361.58,828.28,1495.35,2341.77,761.22,1446.33,2277.29
479,827.52,1547.30,2361.56,828.23,1495.40,2341.79,761.01,1446.39,2277.32
480,827.41,1547.45,2361.54,828.19,1495.45,2341.82,760.79,1446.45,2277.35
481,827.29,1547.60,2361.52,828.14,1495.50,2341.85,760.58,1446.51,2277.38
482,827.18,1547.74,2361.50,828.09,1495.55,2341.88,760.37,1446.57,2277.40
483,827.06,1547.89,2361.48,828.04,1495.61,2341.90,760.16,1446.63,2277.43
484,826.94,1548.04,2361.47,828.00,1495.66,2341.93,759.95,1446.69,2277.46
485,826.82,1548.19,2361.45,827.95,1495.71,2341.95,759.74,1446.75,2277.48
486,826.70,1548.33,2361.44,827.90,1495.77,2341.98,759.53,1446.81,2277.51
487,826.58,1548.48,2361.42,827.85,1495.82,2342.01,759.32,1446.86,2277.54
488,826.46,1548.63,2361.41,827.80,1495.88,2342.03,759.11,1446.92,2277.56
489,826.34,1548.78,2361.40,827.76,1495.93,2342.05,758.90,1446.98,2277.59
490,826.21,1548.92,2361.39,827.71,1495.98,2342.08,758.68,1447.03,2277.61
491,826.09,1549.07,2361.38,827.66,1496.04,2342.10,758.47,1447.09,2277.63
492,825.96,1549.22,2361.37,827.61,1496.10,2342.12,758.26,1447.14,2277.66
493,825.83,1549.37,2361.36,827.56,1496.15,2342.15,758.05,1447.20,2277.68
494,825.70,1549.52,2361.35,827.51,1496.21,2342.17,757.84,1447.25,2277.71
495,825.57,1549.66,2361.34,827.46,1496.26,2342.19,757.62,1447.30,2277.73
496,825.44,1549.81,2361.34,827.41,1496.32,2342.21,757.41,1447.35,2277.75
497,825.31,1549.96,2361.33,827.36,1496.38,2342.24,757.20,1447.41,2277.78
498,825.17,1550.11,2361.33,827.31,1496.44,2342.26,756.99,1447.46,2277.80
499,825.04,1550.26,2361.33,827.26,1496.49,2342.28,756.78,1447.51,2277.82
500,824.90,1550.41,2361.33,827.21,1496.55,2342.30,756.56,1447.56,2277.84
501,824.76,1550.56,2361.32,827.16,1496.61,2342.32,756.35,1447.61,2277.86
502,824.63,1550.70,2361.32,827.11,1496.67,2342.34,756.14,1447.66,2277.88
503,824.49,1550.85,2361.32,827.06,1496.73,2342.36,755.92,1447.71,2277.91
504,824.35,1551.00,2361.32,827.01,1496.78,2342.38,755.71,1447.76,2277.93
505,824.20,1551.15,2361.33,826.96,1496.84,2342.40,755.50,1447.80,2277.95
506,824.06,1551.30,2361.33,826.91,1496.90,2342.42,755.29,1447.85,2277.97
507,823.92,1551.45,2361.33,826.86,1496.96,2342.44,755.07,1447.90,2277.99
508,823.77,1551.60,2361.33,826.80,1497.02,2342.45,754.86,1447.95,2278.01
509,823.62,1551.75,2361.34,826.75,1497.08,2342.47,754.65,1447.99,2278.03
510,823.48,1551.90,2361.34,826.70,1497.14,2342.49,754.43,1448.04,2278.04
511,823.33,1552.05,2361.35,826.65,1497.20,2342.51,754.22,1448.08,2278.06
512,823.18,1552.20,2361.35,826.59,1497.26,2342.53,754.00,1448.13,2278.08
513,823.03,1552.34,2361.36,826.54,1497.32,2342.54,753.79,1448.17,2278.10
514,822.87,1552.49,2361.37,826.49,1497.38,2342.56,753.58,1448.21,2278.12
515,822.72,1552.64,2361.38,826.43,1497.45,2342.58,753.36,1448.26,2278.13
516,822.57,1552.79,2361.39,826.38,1497.51,2342.59,753.15,1448.30,2278.15
517,822.41,1552.94,2361.39,826.32,1497.57,2342.61,752.93,1448.34,2278.17
518,822.25,1553.09,2361.40,826.27,1497.63,2342.63,752.72,1448.38,2278.19
519,822.09,1553.24,2361.41,826.21,1497.69,2342.64,752.51,1448.43,2278.20
520,821.94,1553.39,2361.42,826.16,1497.76,2342.66,752.29,1448.47,2278.22
521,821.78,1553.54,2361.43,826.10,1497.82,2342.68,752.08,1448.51,2278.23
522,821.61,1553.69,2361.45,826.04,1497.88,2342.69,751.86,1448.55,2278.25
523,821.45,1553.84,2361.46,825.99,1497.94,2342.71,751.65,1448.59,2278.27
524,821.29,1553.99,2361.47,825.93,1498.01,2342.72,751.43,1448.63,2278.28
525,821.13,1554.14,2361.48,825.87,1498.07,2342.74,751.22,1448.67,2278.29
526,820.96,1554.29,2361.49,825.81,1498.13,2342.75,751.00,1448.70,2278.31
527,820.79,1554.44,2361.51,825.76,1498.20,2342.77,750.79,1448.74,2278.32
528,820.63,1554.60,2361.52,825.70,1498.26,2342.78,750.57,1448.78,2278.34
529,820.46,1554.75,2361.53,825.64,1498.33,2342.80,750.36,1448.82,2278.35
530,820.29,1554.90,2361.55,825.58,1498.39,2342.81,750.14,1448.85,2278.36
531,820.12,1555.05,2361.56,825.52,1498.45,2342.83,749.93,1448.89,2278.38
532,819.94,1555.20,2361.58,825.46,1498.52,2342.84,749.71,1448.93,2278.39
533,819.77,1555.35,2361.59,825.40,1498.58,2342.86,749.49,1448.96,2278.40
534,819.60,1555.50,2361.61,825.34,1498.65,2342.87,749.28,1449.00,2278.41
535,819.42,1555.65,2361.62,825.28,1498.71,2342.89,749.06,1449.03,2278.43
536,819.25,1555.80,2361.64,825.21,1498.78,2342.90,748.85,1449.07,2278.44
537,819.07,1555.95,2361.65,825.15,1498.84,2342.91,748.63,1449.10,2278.45
538,818.89,1556.10,2361.67,825.09,1498.91,2342.93,748.41,1449.13,2278.46
539,818.71,1556.25,2361.68,825.03,1498.98,2342.94,748.20,1449.17,2278.47
540,818.53,1556.40,2361.70,824.96,1499.04,2342.95,747.98,1449.20,2278.48
541,818.35,1556.56,2361.71,824.90,1499.11,2342.97,747.76,1449.23,2278.49
542,818.17,1556.71,2361.73,824.83,1499.17,2342.98,747.55,1449.26,2278.50
543,817.99,1556.86,2361.74,824.77,1499.24,2343.00,747.33,1449.30,2278.51
544,817.80,1557.01,2361.76,824.70,1499.31,2343.01,747.11,1449.33,2278.52
545,817.62,1557.16,2361.78,824.64,1499.37,2343.02,746.90,1449.36,2278.53
546,817.43,1557.31,2361.79,824.57,1499.44,2343.04,746.68,1449.39,2278.54
547,817.25,1557.46,2361.81,824.51,1499.51,2343.05,746.46,1449.42,2278.55
548,817.06,1557.62,2361.82,824.44,1499.57,2343.06,746.24,1449.45,2278.56
549,816.87,1557.77,2361.84,824.37,1499.64,2343.08,746.03,1449.48,2278.56
550,816.68,1557.92,2361.86,824.30,1499.71,2343.09,745.81,1449.51,2278.57
551,816.49,1558.07,2361.87,824.23,1499.77,2343.10,745.59,1449.54,2278.58
552,816.30,1558.22,2361.89,824.16,1499.84,2343.11,745.37,1449.57,2278.59
553,816.10,1558.37,2361.90,824.10,1499.91,2343.13,745.16,1449.60,2278.59
554,815.91,1558.53,2361.92,824.02,1499.98,2343.14,744.94,1449.62,2278.60
555,815.71,1558.68,2361.93,823.95,1500.05,2343.15,744.72,1449.65,2278.61
556,815.52,1558.83,2361.95,823.88,1500.11,2343.17,744.50,1449.68,2278.61
557,815.32,1558.98,2361.96,823.81,1500.18,2343.18,744.28,1449.71,2278.62
558,815.12,1559.13,2361.98,823.74,1500.25,2343.19,744.07,1449.73,2278.62
559,814.92,1559.28,2361.99,823.67,1500.32,2343.20,743.85,1449.76,2278.63
560,814.73,1559.44,2362.01,823.59,1500.39,2343.22,743.63,1449.78,2278.64
561,814.52,1559.59,2362.02,823.52,1500.46,2343.23,743.41,1449.81,2278.64
562,814.32,1559.74,2362.04,823.44,1500.52,2343.24,743.19,1449.84,2278.64
563,814.12,1559.89,2362.05,823.37,1500.59,2343.25,742.97,1449.86,2278.65
564,813.92,1560.05,2362.06,823.29,1500.66,2343.27,742.75,1449.89,2278.65
565,813.71,1560.20,2362.08,823.22,1500.73,2343.28,742.53,1449.91,2278.66
566,813.51,1560.35,2362.09,823.14,1500.80,2343.29,742.32,1449.94,2278.66
567,813.30,1560.50,2362.10,823.06,1500.87,2343.30,742.10,1449.96,2278.66
