Index,M1,M2,M3,M4,skew,kurt
814,4325.45,1921178.62,1856356879.41,8619465409304.56,0.71,-0.72
815,4320.17,1919572.41,1867809445.93,8633400594975.20,0.72,-0.71
816,4314.90,1917925.80,1879203086.70,8647240944859.69,0.72,-0.70
817,4309.63,1916238.91,1890536783.16,8660985790376.20,0.73,-0.69
818,4304.36,1914511.82,1901809524.30,8674634466199.83,0.73,-0.68
819,4299.10,1912744.67,1913020306.74,8688186310313.49,0.74,-0.67
820,4293.84,1910937.55,1924168134.98,8701640664059.40,0.75,-0.66
821,4288.59,1909090.59,1935252021.45,8714996872187.84,0.75,-0.65
822,4283.34,1907203.91,1946270986.70,8728254282907.34,0.76,-0.64
823,4278.10,1905277.65,1957224059.53,8741412247936.43,0.76,-0.63
824,4272.86,1903311.92,1968110277.14,8754470122551.33,0.77,-0.62
825,4267.63,1901306.87,1978928685.24,8767427265638.70,0.77,-0.61
826,4262.41,1899262.64,1989678338.23,8780283039744.25,0.78,-0.60
827,4257.18,1897179.36,2000358299.33,8793036811122.72,0.79,-0.59
828,4251.97,1895057.19,2010967640.66,8805687949788.58,0.79,-0.58
829,4246.76,1892896.27,2021505443.47,8818235829565.36,0.80,-0.56
830,4241.55,1890696.75,2031970798.20,8830679828137.05,0.80,-0.55
831,4236.35,1888458.81,2042362804.65,8843019327095.38,0.81,-0.54
832,4231.16,1886182.59,2052680572.09,8855253711992.29,0.82,-0.53
833,4225.97,1883868.27,2062923219.41,8867382372389.07,0.82,-0.52
834,4220.79,1881516.02,2073089875.25,8879404701905.03,0.83,-0.51
835,4215.62,1879126.00,2083179678.13,8891320098268.73,0.83,-0.50
836,4210.45,1876698.40,2093191776.55,8903127963366.74,0.84,-0.48
837,4205.29,1874233.40,2103125329.17,8914827703293.78,0.85,-0.47
838,4200.13,1871731.18,2112979504.88,8926418728402.50,0.85,-0.46
839,4194.99,1869191.93,2122753482.96,8937900453352.36,0.86,-0.45
840,4189.85,1866615.85,2132446453.21,8949272297159.91,0.86,-0.43
841,4184.71,1864003.13,2142057616.02,8960533683247.47,0.87,-0.42
842,4179.59,1861353.97,2151586182.57,8971684039492.99,0.88,-0.41
843,4174.47,1858668.58,2161031374.88,8982722798280.08,0.88,-0.40
844,4169.36,1855947.16,2170392425.97,8993649396545.38,0.89,-0.38
845,4164.26,1853189.93,2179668579.97,9004463275829.97,0.90,-0.37
846,4159.16,1850397.10,2188859092.20,9015163882326.73,0.90,-0.36
847,4154.07,1847568.89,2197963229.35,9025750666930.89,0.91,-0.34
848,4148.99,1844705.52,2206980269.55,9036223085288.22,0.91,-0.33
849,4143.92,1841807.22,2215909502.49,9046580597843.97,0.92,-0.31
850,4138.86,1838874.22,2224750229.51,9056822669892.00,0.93,-0.30
851,4133.80,1835906.75,2233501763.78,9066948771623.98,0.93,-0.29
852,4128.76,1832905.05,2242163430.30,9076958378176.77,0.94,-0.27
853,4123.72,1829869.37,2250734566.12,9086850969682.39,0.94,-0.26
854,4118.69,1826799.94,2259214520.35,9096626031317.05,0.95,-0.24
855,4113.67,1823697.01,2267602654.34,9106283053347.52,0.96,-0.23
856,4108.66,1820560.84,2275898341.72,9115821531181.78,0.96,-0.21
857,4103.65,1817391.68,2284100968.53,9125240965415.89,0.97,-0.20
858,4098.66,1814189.78,2292209933.33,9134540861883.73,0.98,-0.18
859,4093.67,1810955.42,2300224647.27,9143720731702.98,0.98,-0.17
860,4088.70,1807688.86,2308144534.22,9152780091325.53,0.99,-0.15
861,4083.73,1804390.36,2315969030.83,9161718462583.47,0.99,-0.14
862,4078.78,1801060.20,2323697586.64,9170535372738.86,1.00,-0.12
863,4073.83,1797698.66,2331329664.18,9179230354530.26,1.01,-0.10
864,4068.89,1794306.01,2338864739.03,9187802946220.64,1.01,-0.09
865,4063.96,1790882.53,2346302299.94,9196252691645.79,1.02,-0.07
866,4059.05,1787428.52,2353641848.91,9204579140260.45,1.02,-0.06
867,4054.14,1783944.26,2360882901.26,9212781847186.93,1.03,-0.04
868,4049.24,1780430.04,2368024985.72,9220860373261.82,1.04,-0.02
869,4044.35,1776886.16,2375067644.53,9228814285083.44,1.04,-0.01
870,4039.48,1773312.92,2382010433.48,9236643155059.94,1.05,0.01
871,4034.61,1769710.62,2388852922.02,9244346561453.27,1.06,0.03
872,4029.75,1766079.57,2395594693.35,9251924088430.04,1.06,0.05
873,4024.91,1762420.07,2402235344.43,9259375326105.19,1.07,0.06
874,4020.07,1758732.44,2408774486.13,9266699870590.19,1.07,0.08
875,4015.24,1755016.99,2415211743.26,9273897324039.01,1.08,0.10
876,4010.43,1751274.04,2421546754.63,9280967294695.69,1.09,0.12
877,4005.62,1747503.91,2427779173.14,9287909396938.24,1.09,0.13
878,4000.83,1743706.92,2433908665.85,9294723251328.32,1.10,0.15
879,3996.05,1739883.40,2439934914.01,9301408484652.96,1.11,0.17
880,3991.28,1736033.69,2445857613.16,9307964729975.65,1.11,0.19
881,3986.52,1732158.11,2451676473.16,9314391626677.42,1.12,0.21
882,3981.77,1728256.99,2457391218.28,9320688820505.20,1.12,0.23
883,3977.03,1724330.69,2463001587.21,9326855963617.98,1.13,0.24
884,3972.30,1720379.53,2468507333.17,9332892714629.43,1.14,0.26
885,3967.59,1716403.87,2473908223.89,9338798738656.02,1.14,0.28
886,3962.88,1712404.04,2479204041.76,9344573707359.91,1.15,0.30
887,3958.19,1708380.41,2484394583.76,9350217298997.36,1.15,0.32
888,3953.51,1704333.31,2489479661.61,9355729198459.04,1.16,0.34
889,3948.84,1700263.12,2494459101.76,9361109097319.45,1.17,0.36
890,3944.18,1696170.17,2499332745.43,9366356693878.04,1.17,0.38
891,3939.53,1692054.84,2504100448.66,9371471693205.19,1.18,0.40
892,3934.90,1687917.49,2508762082.38,9376453807186.69,1.19,0.42
893,3930.28,1683758.48,2513317532.37,9381302754568.28,1.19,0.44
894,3925.66,1679578.18,2517766699.37,9386018260998.03,1.20,0.46
895,3921.06,1675376.96,2522109499.07,9390600059072.55,1.20,0.48
896,3916.48,1671155.18,2526345862.15,9395047888378.52,1.21,0.50
897,3911.90,1666913.24,2530475734.30,9399361495538.41,1.22,0.52
898,3907.34,1662651.50,2534499076.26,9403540634252.31,1.22,0.54
899,3902.79,1658370.34,2538415863.82,9407585065341.67,1.23,0.56
900,3898.25,1654070.14,2542226087.87,9411494556793.36,1.24,0.59
901,3893.72,1649751.29,2545929754.38,9415268883801.35,1.24,0.61
902,3889.20,1645414.18,2549526884.45,9418907828810.44,1.25,0.63
903,3884.70,1641059.19,2553017514.31,9422411181558.51,1.25,0.65
904,3880.21,1636686.71,2556401695.33,9425778739119.13,1.26,0.67
905,3875.73,1632297.13,2559679494.02,9429010305943.53,1.27,0.69
906,3871.26,1627890.85,2562850992.06,9432105693904.42,1.27,0.71
907,3866.81,1623468.26,2565916286.28,9435064722335.54,1.28,0.74
908,3862.37,1619029.77,2568875488.69,9437887218074.56,1.29,0.76
909,3857.94,1614575.76,2571728726.44,9440573015506.25,1.29,0.78
910,3853.52,1610106.65,2574476141.84,9443121956600.59,1.30,0.80
911,3849.11,1605622.83,2577117892.37,9445533890957.71,1.30,0.83
912,3844.72,1601124.71,2579654150.64,9447808675846.95,1.31,0.85
913,3840.34,1596612.70,2582085104.41,9449946176248.14,1.32,0.87
914,3835.97,1592087.20,2584410956.53,9451946264892.69,1.32,0.89
915,3831.62,1587548.63,2586631925.01,9453808822303.21,1.33,0.92
916,3827.27,1582997.39,2588748242.89,9455533736835.53,1.33,0.94
917,3822.94,1578433.89,2590760158.32,9457120904717.41,1.34,0.96
918,3818.63,1573858.56,2592667934.47,9458570230090.69,1.35,0.99
919,3814.32,1569271.80,2594471849.55,9459881625046.90,1.35,1.01
920,3810.03,1564674.04,2596172196.74,9461055009672.23,1.36,1.03
921,3805.75,1560065.69,2597769284.21,9462090312083.67,1.37,1.06
922,3801.48,1555447.16,2599263435.02,9462987468468.29,1.37,1.08
923,3797.22,1550818.88,2600654987.16,9463746423123.69,1.38,1.11
924,3792.98,1546181.28,2601944293.44,9464367128496.09,1.38,1.13
925,3788.75,1541534.76,2603131721.50,9464849545219.31,1.39,1.15
926,3784.53,1536879.76,2604217653.75,9465193642152.61,1.40,1.18
927,3780.33,1532216.70,2605202487.31,9465399396419.00,1.40,1.20
928,3776.13,1527546.00,2606086633.99,9465466793445.34,1.41,1.23
929,3771.95,1522868.09,2606870520.18,9465395826996.51,1.41,1.25
930,3767.78,1518183.39,2607554586.88,9465186499216.13,1.42,1.28
931,3763.63,1513492.34,2608139289.57,9464838820661.66,1.43,1.30
932,3759.49,1508795.35,2608625098.20,9464352810345.05,1.43,1.33
933,3755.36,1504092.86,2609012497.07,9463728495765.47,1.44,1.35
934,3751.24,1499385.30,2609301984.83,9462965912949.26,1.44,1.38
935,3747.13,1494673.09,2609494074.35,9462065106484.80,1.45,1.40
936,3743.04,1489956.66,2609589292.71,9461026129559.54,1.46,1.43
937,3738.96,1485236.45,2609588181.05,9459849043996.19,1.46,1.45
938,3734.89,1480512.87,2609491294.58,9458533920287.94,1.47,1.48
939,3730.83,1475786.37,2609299202.40,9457080837635.69,1.47,1.51
940,3726.79,1471057.38,2609012487.54,9455489883981.18,1.48,1.53
941,3722.76,1466326.31,2608631746.74,9453761156044.04,1.49,1.56
942,3718.74,1461593.61,2608157590.45,9451894759355.87,1.49,1.58
943,3714.73,1456859.70,2607590642.72,9449890808296.79,1.50,1.61
944,3710.73,1452125.01,2606931541.10,9447749426125.66,1.50,1.64
945,3706.75,1447389.97,2606180936.52,9445470745020.66,1.51,1.66
946,3702.78,1442655.01,2605339493.22,9443054906106.97,1.52,1.69
947,3698.82,1437920.56,2604407888.62,9440502059494.82,1.52,1.72
948,3694.88,1433187.05,2603386813.26,9437812364312.37,1.53,1.74
949,3690.94,1428454.90,2602276970.61,9434985988737.09,1.53,1.77
950,3687.02,1423724.54,2601079077.04,9432023110030.02,1.54,1.80
951,3683.11,1418996.41,2599793861.64,9428923914571.34,1.55,1.82
952,3679.21,1414270.91,2598422066.14,9425688597886.96,1.55,1.85
953,3675.32,1409548.49,2596964444.77,9422317364687.24,1.56,1.88
954,3671.45,1404829.56,2595421764.12,9418810428893.96,1.56,1.91
955,3667.59,1400114.55,2593794803.05,9415168013675.68,1.57,1.93
956,3663.73,1395403.88,2592084352.52,9411390351477.56,1.58,1.96
957,3659.89,1390697.96,2590291215.47,9407477684053.47,1.58,1.99
958,3656.07,1385997.23,2588416206.69,9403430262496.55,1.59,2.02
959,3652.25,1381302.10,2586460152.64,9399248347269.92,1.59,2.04
960,3648.44,1376612.98,2584423891.36,9394932208237.86,1.60,2.07
961,3644.65,1371930.29,2582308272.28,9390482124696.09,1.60,2.10
962,3640.87,1367254.45,2580114156.08,9385898385400.77,1.61,2.13
963,3637.10,1362585.87,2577842414.54,9381181288599.33,1.62,2.16
964,3633.34,1357924.96,2575493930.36,9376331142059.86,1.62,2.18
965,3629.59,1353272.12,2573069597.03,9371348263100.28,1.63,2.21
966,3625.85,1348627.78,2570570318.65,9366232978616.18,1.63,2.24
967,3622.13,1343992.33,2567997009.73,9360985625110.81,1.64,2.27
968,3618.41,1339366.17,2565350595.08,9355606548724.61,1.65,2.30
969,3614.71,1334749.71,2562632009.60,9350096105259.16,1.65,2.33
970,3611.02,1330143.35,2559842198.06,9344454660209.37,1.66,2.36
971,3607.33,1325547.49,2556982115.01,9338682588789.38,1.66,2.38
972,3603.66,1320962.51,2554052724.51,9332780275959.71,1.67,2.41
973,3600.00,1316388.82,2551054999.99,9326748116453.71,1.67,2.44
974,3596.35,1311826.80,2547989924.02,9320586514806.23,1.68,2.47
975,3592.71,1307276.84,2544858488.15,9314295885378.32,1.69,2.50
976,3589.09,1302739.32,2541661692.69,9307876652382.71,1.69,2.53
977,3585.47,1298214.63,2538400546.48,9301329249912.73,1.70,2.56
978,3581.86,1293703.15,2535076066.76,9294654121964.34,1.70,2.59
979,3578.26,1289205.25,2531689278.88,9287851722464.42,1.71,2.62
